motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 4, 0.000000, 0.000000
0, 10, 0.000000, 0.000000
0, 24, 0.000000, 0.000000
0, 31, 0.000000, 0.000000
0, 48, 0.000000, 0.000000
0, 56, 0.000000, 0.000000
0, 74, 0.000000, 0.000000
0, 83, 0.000000, 0.000000
0, 102, 0.000000, 0.000000
0, 113, 0.000000, 0.000000
0, 133, 0.000000, 0.000000
0, 145, 0.000000, 0.000000
0, 167, 0.000000, 0.000000
0, 177, 0.000000, 0.000000
0, 203, 0.000000, 0.000000
0, 216, 0.000000, 0.000000
0, 240, 0.000000, 0.000000
0, 252, 0.000000, 0.000000
0, 281, 0.000000, 0.000000
0, 297, 0.000000, 0.000000
0, 327, 0.000000, 0.000000
0, 343, 0.000000, 0.000000
0, 372, 0.000000, 0.000000
0, 387, 0.000000, 0.000000
0, 416, 0.000000, 0.000000
0, 428, 0.000000, 0.000000
0, 455, 0.000000, 0.000000
0, 469, 0.000000, 0.000000
7, 496, 0.400050, 0.400050
23, 508, 2.532100, 2.532100
31, 520, 7.334752, 7.334752
47, 545, 14.510977, 14.510977
56, 555, 23.494987, 23.494987
75, 579, 33.948505, 33.948505
84, 590, 45.615219, 45.615219
105, 613, 58.262619, 58.262619
115, 625, 71.774834, 71.774834
136, 650, 85.979996, 85.979996
147, 662, 100.730186, 100.730186
172, 689, 116.146439, 116.146439
184, 700, 132.395264, 132.395264
208, 724, 149.331940, 149.331940
220, 736, 166.702789, 166.702789
232, 760, 183.653824, 183.653824
254, 770, 199.934158, 199.934158
265, 782, 216.142807, 216.142807
292, 810, 232.687988, 232.687988
303, 822, 249.889587, 249.889587
315, 846, 266.827728, 266.827728
339, 858, 283.197815, 283.197815
351, 871, 299.789459, 299.789459
373, 895, 316.652771, 316.652771
383, 906, 333.510864, 333.510864
405, 929, 350.175171, 350.175171
416, 941, 366.695740, 366.695740
439, 963, 383.233307, 383.233307
449, 975, 399.827789, 399.827789
