counts_l_now ,velocity_l ,error_l ,motorpower_l ,counts_r_now ,velocity_r ,error_r ,motorpower_r
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
0.000000,0.000000,720.000000,36,0.000000,0.000000,720.000000,36
