motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 2, 0.000000, 0.000000
0, 12, 0.000000, 0.000000
0, 20, 0.000000, 0.000000
0, 34, 0.000000, 0.000000
0, 43, 0.000000, 0.000000
0, 59, 0.000000, 0.000000
0, 68, 0.000000, 0.000000
0, 87, 0.000000, 0.000000
0, 97, 0.000000, 0.000000
0, 117, 0.000000, 0.000000
0, 127, 0.000000, 0.000000
0, 150, 0.000000, 0.000000
0, 161, 0.000000, 0.000000
0, 186, 0.000000, 0.000000
0, 197, 0.000000, 0.000000
0, 223, 0.000000, 0.000000
0, 234, 0.000000, 0.000000
0, 261, 0.000000, 0.000000
0, 275, 0.000000, 0.000000
0, 304, 0.000000, 0.000000
0, 319, 0.000000, 0.000000
0, 348, 0.000000, 0.000000
0, 364, 0.000000, 0.000000
0, 396, 0.000000, 0.000000
0, 410, 0.000000, 0.000000
0, 445, 0.000000, 0.000000
0, 462, 0.000000, 0.000000
0, 503, 0.000000, 0.000000
0, 522, 0.000000, 0.000000
5, 557, 0.285750, 0.285750
21, 577, 2.069900, 2.069900
30, 596, 6.483344, 6.483344
49, 636, 13.633722, 13.633722
59, 657, 23.153896, 23.153896
78, 700, 34.459915, 34.459915
88, 721, 46.984898, 46.984898
110, 764, 60.467598, 60.467598
122, 783, 74.903831, 74.903831
133, 810, 89.560402, 89.560402
145, 865, 103.558769, 103.558769
174, 889, 117.838661, 117.838661
187, 913, 133.677307, 133.677307
213, 961, 150.952393, 150.952393
226, 985, 169.131104, 169.131104
253, 1036, 187.919235, 187.919235
267, 1058, 207.211670, 207.211670
297, 1109, 227.093292, 227.093292
310, 1135, 247.566895, 247.566895
324, 1188, 267.526581, 267.526581
357, 1215, 287.017303, 287.017303
373, 1264, 307.415314, 307.415314
408, 1290, 329.117004, 329.117004
425, 1316, 352.103943, 352.103943
457, 1368, 375.963379, 375.963379
475, 1390, 400.269348, 400.269348
513, 1443, 425.204010, 425.204010
