motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
423, 1302, 349.396515, 349.396515
456, 1350, 373.400269, 373.400269
472, 1376, 397.930847, 397.930847
498, 1409, 422.203369, 422.203369
534, 1460, 446.806091, 446.806091
556, 1485, 472.737915, 472.737915
592, 1537, 499.738892, 499.738892
611, 1560, 527.322571, 527.322571
629, 1613, 554.023376, 554.023376
670, 1639, 579.872559, 579.872559
687, 1665, 606.272888, 606.272888
730, 1715, 633.537842, 633.537842
752, 1741, 661.955322, 661.955322
799, 1789, 691.854919, 691.854919
817, 1814, 722.987671, 722.987671
867, 1866, 754.947510, 754.947510
891, 1893, 787.948730, 787.948730
940, 1947, 822.098083, 822.098083
963, 1973, 857.047913, 857.047913
982, 2025, 890.749084, 890.749084
1032, 2050, 922.757874, 922.757874
1056, 2072, 955.167908, 955.167908
1108, 2124, 988.858093, 988.858093
1134, 2150, 1024.003784, 1024.003784
1183, 2201, 1060.263428, 1060.263428
1205, 2226, 1096.889526, 1096.889526
1261, 2281, 1133.766479, 1133.766479
1287, 2308, 1171.433716, 1171.433716
1311, 2356, 1208.257812, 1208.257812
1356, 2382, 1243.243652, 1243.243652
1381, 2433, 1277.682861, 1277.682861
1430, 2459, 1312.337524, 1312.337524
1457, 2486, 1347.709351, 1347.709351
1509, 2537, 1384.056519, 1384.056519
1531, 2559, 1421.112427, 1421.112427
1580, 2612, 1458.185425, 1458.185425
1610, 2643, 1495.369019, 1495.369019
1662, 2692, 1533.292114, 1533.292114
1685, 2718, 1571.728394, 1571.728394
1706, 2770, 1608.327515, 1608.327515
1756, 2795, 1642.640381, 1642.640381
1781, 2821, 1676.838623, 1676.838623
1832, 2870, 1711.825073, 1711.825073
1858, 2896, 1747.779907, 1747.779907
1905, 2947, 1784.359741, 1784.359741
1930, 2975, 1821.042725, 1821.042725
1987, 3029, 1858.177490, 1858.177490
2012, 3055, 1896.327026, 1896.327026
2057, 3108, 1934.727295, 1934.727295
2082, 3132, 1972.427490, 1972.427490
2107, 3181, 2008.185181, 2008.185181
2156, 3208, 2042.334595, 2042.334595
2182, 3234, 2076.762207, 2076.762207
2231, 3285, 2111.975830, 2111.975830
2257, 3307, 2147.934082, 2147.934082
2308, 3362, 2184.569580, 2184.569580
2333, 3390, 2221.767334, 2221.767334
2385, 3442, 2259.366699, 2259.366699
2409, 3469, 2297.232666, 2297.232666
2458, 3520, 2335.039307, 2335.039307
2483, 3542, 2372.596680, 2372.596680
2528, 3591, 2409.738281, 2409.738281
2535, 3593, 2445.257324, 2445.257324
2535, 3594, 2475.594482, 2475.594482
2535, 3594, 2497.992920, 2497.992920
2535, 3594, 2513.114746, 2513.114746
2535, 3594, 2522.801514, 2522.801514
2535, 3594, 2528.796143, 2528.796143
2535, 3594, 2532.416260, 2532.416260
2535, 3594, 2534.563232, 2534.563232
2535, 3594, 2535.818604, 2535.818604
2535, 3594, 2536.544434, 2536.544434
2535, 3594, 2536.960449, 2536.960449
2535, 3594, 2537.197021, 2537.197021
2535, 3594, 2537.330566, 2537.330566
2535, 3594, 2537.405518, 2537.405518
2535, 3594, 2537.447754, 2537.447754
2535, 3594, 2537.471191, 2537.471191
2535, 3594, 2537.484131, 2537.484131
2535, 3594, 2537.491455, 2537.491455
2535, 3594, 2537.495850, 2537.495850
2535, 3594, 2537.497803, 2537.497803
2535, 3594, 2537.499023, 2537.499023
2535, 3594, 2537.499756, 2537.499756
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
2535, 3594, 2537.500244, 2537.500244
