motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 9, 0.000000, 0.000000
0, 15, 0.000000, 0.000000
0, 32, 0.000000, 0.000000
0, 39, 0.000000, 0.000000
0, 56, 0.000000, 0.000000
0, 65, 0.000000, 0.000000
0, 84, 0.000000, 0.000000
0, 105, 0.000000, 0.000000
0, 116, 0.000000, 0.000000
0, 139, 0.000000, 0.000000
0, 151, 0.000000, 0.000000
0, 176, 0.000000, 0.000000
0, 189, 0.000000, 0.000000
0, 202, 0.000000, 0.000000
0, 227, 0.000000, 0.000000
0, 240, 0.000000, 0.000000
0, 266, 0.000000, 0.000000
0, 281, 0.000000, 0.000000
0, 310, 0.000000, 0.000000
0, 326, 0.000000, 0.000000
0, 355, 0.000000, 0.000000
0, 371, 0.000000, 0.000000
0, 402, 0.000000, 0.000000
0, 419, 0.000000, 0.000000
0, 455, 0.000000, 0.000000
0, 474, 0.000000, 0.000000
4, 514, 0.228600, 0.228600
11, 533, 1.324450, 1.324450
20, 570, 3.949165, 3.949165
38, 590, 8.848161, 8.848161
46, 610, 16.276466, 16.276466
66, 651, 25.783176, 25.783176
76, 672, 36.999405, 36.999405
95, 715, 49.491501, 49.491501
106, 737, 62.849979, 62.849979
116, 780, 76.308304, 76.308304
139, 803, 89.806458, 89.806458
151, 827, 104.118912, 104.118912
177, 876, 119.556427, 119.556427
189, 900, 136.118103, 136.118103
215, 948, 153.547043, 153.547043
228, 972, 171.632339, 171.632339
255, 1022, 190.281006, 190.281006
266, 1048, 209.281860, 209.281860
280, 1070, 227.639801, 227.639801
311, 1124, 245.630798, 245.630798
325, 1146, 264.556519, 264.556519
353, 1199, 284.386658, 284.386658
370, 1226, 304.906403, 304.906403
405, 1277, 326.471252, 326.471252
