motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 1, 0.000000, 0.000000
0, 7, 0.000000, 0.000000
0, 20, 0.000000, 0.000000
0, 26, 0.000000, 0.000000
0, 43, 0.000000, 0.000000
0, 51, 0.000000, 0.000000
0, 68, 0.000000, 0.000000
0, 78, 0.000000, 0.000000
0, 96, 0.000000, 0.000000
0, 106, 0.000000, 0.000000
0, 126, 0.000000, 0.000000
0, 137, 0.000000, 0.000000
0, 158, 0.000000, 0.000000
0, 171, 0.000000, 0.000000
0, 200, 0.000000, 0.000000
0, 213, 0.000000, 0.000000
0, 239, 0.000000, 0.000000
0, 251, 0.000000, 0.000000
0, 281, 0.000000, 0.000000
0, 294, 0.000000, 0.000000
0, 322, 0.000000, 0.000000
0, 339, 0.000000, 0.000000
0, 367, 0.000000, 0.000000
0, 382, 0.000000, 0.000000
0, 410, 0.000000, 0.000000
2, 424, 0.114300, 0.114300
7, 438, 0.747950, 0.747950
21, 465, 2.864158, 2.864158
30, 476, 7.300949, 7.300949
45, 501, 14.042385, 14.042385
54, 513, 22.614975, 22.614975
72, 537, 32.643093, 32.643093
81, 550, 43.863453, 43.863453
100, 573, 55.989285, 55.989285
108, 585, 68.735664, 68.735664
129, 610, 81.940514, 81.940514
138, 621, 95.626358, 95.626358
149, 643, 109.175186, 109.175186
171, 655, 122.621529, 122.621529
182, 678, 136.740952, 136.740952
205, 688, 151.648163, 151.648163
215, 700, 167.194489, 167.194489
239, 722, 183.193542, 183.193542
251, 734, 199.662552, 199.662552
275, 756, 216.613251, 216.613251
286, 768, 233.881607, 233.881607
307, 792, 251.121887, 251.121887
318, 801, 268.074921, 268.074921
342, 825, 284.907104, 284.907104
352, 836, 301.805695, 301.805695
376, 858, 318.749390, 318.749390
386, 870, 335.721985, 335.721985
411, 893, 352.769745, 352.769745
421, 905, 369.945160, 369.945160
432, 930, 386.433350, 386.433350
462, 945, 402.512299, 402.512299
