motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 4, 0.000000, 0.000000
0, 16, 0.000000, 0.000000
0, 24, 0.000000, 0.000000
0, 40, 0.000000, 0.000000
0, 48, 0.000000, 0.000000
0, 64, 0.000000, 0.000000
0, 74, 0.000000, 0.000000
0, 92, 0.000000, 0.000000
0, 102, 0.000000, 0.000000
0, 121, 0.000000, 0.000000
0, 132, 0.000000, 0.000000
0, 155, 0.000000, 0.000000
0, 166, 0.000000, 0.000000
0, 191, 0.000000, 0.000000
0, 202, 0.000000, 0.000000
0, 226, 0.000000, 0.000000
0, 240, 0.000000, 0.000000
0, 266, 0.000000, 0.000000
0, 277, 0.000000, 0.000000
0, 307, 0.000000, 0.000000
0, 321, 0.000000, 0.000000
0, 354, 0.000000, 0.000000
0, 368, 0.000000, 0.000000
0, 400, 0.000000, 0.000000
0, 415, 0.000000, 0.000000
0, 444, 0.000000, 0.000000
0, 458, 0.000000, 0.000000
0, 483, 0.000000, 0.000000
11, 496, 0.628650, 0.628650
19, 510, 2.999300, 2.999300
34, 536, 7.703117, 7.703117
43, 546, 14.654005, 14.654005
61, 570, 23.544014, 23.544014
74, 586, 34.246452, 34.246452
85, 598, 46.141483, 46.141483
107, 621, 58.902344, 58.902344
118, 634, 72.756531, 72.756531
140, 656, 87.516403, 87.516403
152, 667, 102.981133, 102.981133
174, 690, 118.992271, 118.992271
185, 704, 135.324677, 135.324677
208, 728, 151.843750, 151.843750
220, 741, 168.584427, 168.584427
243, 765, 185.562820, 185.562820
256, 777, 202.786133, 202.786133
279, 801, 220.257584, 220.257584
291, 811, 237.864182, 237.864182
302, 834, 254.801422, 254.801422
323, 846, 270.831696, 270.831696
334, 868, 286.611633, 286.611633
356, 881, 302.434418, 302.434418
367, 893, 318.427216, 318.427216
390, 915, 334.643005, 334.643005
402, 927, 351.159546, 351.159546
424, 953, 367.929382, 367.929382
437, 963, 384.881744, 384.881744
